TAX CLASS ,GENERAL COUNTY TAX,STATE TAX,MUNICIPAL DISTRICT TAX,TRANSIT TAX,FIRE DISTRICT TAX,ADVANCED LAND ACQUISITION TAX,METRO-POLITAN TAX,REGIONAL TAX,RECREATION TAX,STORM DRAINAGE TAX,PARKING LOT DISTRICT TAX,URBAN DISTRICT TAX,NOISE ABATEMENT DISTRICT TAX,DEVELOPMENT DISTRICT TAX,TOTAL SPECIAL SERVICE AREA TAX,TOTAL TAX RATE
R001,0.724,0.112,0.622,0.048,0.134,0.001,,,,,,,,,0.183,1.641
R002,0.724,0.112,,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,0.010,,0.289,1.125
R004,0.724,0.112,0.049,0.048,0.134,0.001,,,,,,,,,0.183,1.068
R005,0.724,0.112,0.292,0.048,0.134,0.001,,,,,,,,,0.183,1.311
R009,0.724,0.112,0.08,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.195
R014,0.724,0.112,0.04,0.048,0.134,0.001,0.054,0.018,0.021,,,,,,0.276,1.152
R015,0.724,0.112,0.048,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.163
R016,0.724,0.112,0.262,0.048,0.134,0.001,,,,,,,,,0.183,1.281
R017,0.724,0.112,0.04,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.155
R019,0.724,0.112,0.1005,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.2155
R020,0.724,0.112,0.02,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.135
R021,0.724,0.112,0.0104,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.1254
R022,0.724,0.112,0,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.115
R023,0.724,0.112,0.0466,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.1616
R024,0.724,0.112,0.052,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.167
R025,0.724,0.112,,0.048,0.134,0.001,0.054,0.018,0.021,0.003,,,,,0.279,1.115
